# Dark Matter Relic Abundance for Singlet-Doublet Model
#############################################
# Parameter explanation:
# mS: mass parameter of the singlet scalar
# mD: mass parameter of the doublet scalar
# YChi: Yukawa coupling of the singlet scalar to the doublet scalar
# ThetaY: mixing angle between the two Yukawa couplings, defined as ArcTan(Y2/Y1)
# MN1, MN2, MN3: mass eigenvalues of the neutralino-like Majorana fermions
# MChi: physical mass of the chargino-like Dirac fermion
# Xf: dimensionless freeze-out temperature parameter
# Omegah2: dark matter relic density times dimensionless Hubble rate squared
# Note: The masses are in GeV, ThetaY is in radians
# Format: mS,mD,YChi,ThetaY,Xf,Omegah2
#############################################
mS,mD,YChi,ThetaY,MN1,MN2,MN3,MChi,Xf,Omegah2
1600.00,1000.00,1.00,2.36,953.14,1000.00,1646.86,1000.00,26.65,1.43e-01
1700.00,1000.00,1.00,2.36,959.09,1000.00,1740.91,1000.00,26.75,1.37e-01
1800.00,1000.00,1.00,2.36,963.75,1000.00,1836.25,1000.00,26.83,1.33e-01
1900.00,1000.00,1.00,2.36,967.49,1000.00,1932.51,1000.00,26.89,1.29e-01
2000.00,1000.00,1.00,2.36,970.55,1000.00,2029.45,1000.00,26.95,1.27e-01
1100.00,1100.00,1.00,2.36,925.90,1100.00,1274.10,1100.00,25.61,2.55e-01
1200.00,1100.00,1.00,2.36,968.86,1100.00,1331.14,1100.00,25.74,2.51e-01
1300.00,1100.00,1.00,2.36,999.22,1100.00,1400.78,1100.00,25.98,2.29e-01
1400.00,1100.00,1.00,2.36,1020.19,1100.00,1479.81,1100.00,26.21,2.05e-01
1500.00,1100.00,1.00,2.36,1034.84,1100.00,1565.16,1100.00,26.41,1.86e-01
1600.00,1100.00,1.00,2.36,1045.35,1100.00,1654.65,1100.00,26.55,1.73e-01
1700.00,1100.00,1.00,2.36,1053.14,1100.00,1746.86,1100.00,26.63,1.65e-01
1800.00,1100.00,1.00,2.36,1059.09,1100.00,1840.91,1100.00,26.72,1.58e-01
1900.00,1100.00,1.00,2.36,1063.75,1100.00,1936.25,1100.00,26.79,1.54e-01
2000.00,1100.00,1.00,2.36,1067.49,1100.00,2032.51,1100.00,26.85,1.50e-01
1200.00,1200.00,1.00,2.36,1025.90,1200.00,1374.10,1200.00,25.53,3.03e-01
1300.00,1200.00,1.00,2.36,1068.86,1200.00,1431.14,1200.00,25.73,2.91e-01
1400.00,1200.00,1.00,2.36,1099.22,1200.00,1500.78,1200.00,25.99,2.60e-01
1500.00,1200.00,1.00,2.36,1120.19,1200.00,1579.81,1200.00,26.22,2.31e-01
1600.00,1200.00,1.00,2.36,1134.84,1200.00,1665.16,1200.00,26.41,2.10e-01
1700.00,1200.00,1.00,2.36,1145.35,1200.00,1754.65,1200.00,26.54,1.97e-01
1800.00,1200.00,1.00,2.36,1153.14,1200.00,1846.86,1200.00,26.61,1.87e-01
1900.00,1200.00,1.00,2.36,1159.09,1200.00,1940.91,1200.00,26.69,1.81e-01
2000.00,1200.00,1.00,2.36,1163.75,1200.00,2036.25,1200.00,26.76,1.76e-01
1300.00,1300.00,1.00,2.36,1125.90,1300.00,1474.10,1300.00,25.51,3.54e-01
1400.00,1300.00,1.00,2.36,1168.86,1300.00,1531.14,1300.00,25.73,3.31e-01
1500.00,1300.00,1.00,2.36,1199.22,1300.00,1600.78,1300.00,25.99,2.92e-01
1600.00,1300.00,1.00,2.36,1220.19,1300.00,1679.81,1300.00,26.22,2.59e-01
1700.00,1300.00,1.00,2.36,1234.84,1300.00,1765.16,1300.00,26.40,2.36e-01
1800.00,1300.00,1.00,2.36,1245.35,1300.00,1854.65,1300.00,26.52,2.21e-01
